side,entry_time,entry,size,pos_notional,exit_time,exit,gross_pnl,entry_fee,exit_fee,pnl,equity,action_desc
short,2025-10-01 07:00:00 UTC,14.538727,137.56362575623024,2000.0,2025-10-02 16:15:00 UTC,11.018506499999999,484.2542954414098,1.4,1.0610219931910132,481.79327344821877,10481.793273448218,
long,2025-10-02 16:15:00 UTC,11.018506499999999,181.51280302825072,2000.0,2025-10-02 16:30:00 UTC,10.822586,-35.56207912569634,1.4,1.3751065446120125,-38.33718567030836,10443.45608777791,Close LONG (SL hit)
short,2025-10-02 17:15:00 UTC,10.544725000000001,198.07924981975177,2088.691217555582,2025-10-03 03:00:00 UTC,9.3356655,239.4895987474446,1.4620838522889075,1.2944411331656964,236.73307376199,10680.1891615399,
long,2025-10-03 03:00:00 UTC,9.3356655,223.73243959475437,2088.691217555582,2025-10-03 04:00:00 UTC,9.2063945,-28.922116198853324,1.4620838522889075,1.44183837094971,-31.82603842209194,10648.363123117808,Close LONG (SL hit)
long,2025-10-04 00:15:00 UTC,7.2946455,291.95011938874364,2129.6726246235617,2025-10-04 00:30:00 UTC,7.8730615,168.86862025635975,1.4907708372364932,1.6089788714159448,165.7688705477073,10814.131993665515,Close LONG (TP hit)
short,2025-10-04 01:00:00 UTC,8.099948,267.01731896712215,2162.826398733103,2025-10-04 04:45:00 UTC,5.3916945,723.1505886533248,1.513978479113172,1.0077730670558447,720.6288371071557,11534.76083077267,
long,2025-10-04 04:45:00 UTC,5.3916945,401.14038336799365,2162.826398733103,2025-10-04 05:00:00 UTC,5.749124,143.37940665703042,1.513978479113172,1.6143440637730933,140.25108411414416,11675.011914886814,Close LONG (TP hit)
short,2025-10-04 05:30:00 UTC,6.526735,357.7596429114041,2335.002382977363,2025-10-04 18:00:00 UTC,5.672834999999999,305.4909590820484,1.6345016680841542,1.4206579967267203,302.4357994172375,11977.447714304051,
