timestamp,open,high,low,close,volume
1758251700000,13.5780000,14.0000000,13.5360000,13.9940000,829157
1758252600000,13.9940000,14.0000000,13.5270000,13.6740000,405943
1758253500000,13.6740000,13.7090000,13.5010000,13.5290000,188006
1758254400000,13.5300000,13.6280000,13.3000000,13.6110000,585202
1758255300000,13.6110000,13.6720000,13.4720000,13.5740000,220148
1758256200000,13.5760000,13.7250000,13.5710000,13.6030000,157013
1758257100000,13.6030000,13.8270000,13.5310000,13.7100000,195545
1758258000000,13.7080000,13.7590000,13.5840000,13.5990000,104550
1758258900000,13.5970000,13.6500000,13.5110000,13.5470000,112661
1758259800000,13.5470000,13.7130000,13.4850000,13.6950000,449322
1758260700000,13.6950000,13.9010000,13.6010000,13.7580000,205526
1758261600000,13.7590000,13.8000000,13.5600000,13.6010000,142067
1758262500000,13.6000000,13.6460000,13.3260000,13.5220000,368664
1758263400000,13.5220000,13.6000000,13.4150000,13.5130000,203714
1758264300000,13.5150000,13.6200000,13.1000000,13.1690000,497786
1758265200000,13.1690000,13.3920000,13.1550000,13.2880000,367048
1758266100000,13.2880000,13.3400000,13.1730000,13.2780000,133135
1758267000000,13.2770000,13.2810000,12.8650000,12.9760000,497338
1758267900000,12.9760000,13.0990000,12.9130000,13.0230000,344342
1758268800000,13.0210000,13.2190000,12.9870000,13.0880000,229949
1758269700000,13.0880000,13.1180000,12.9010000,12.9010000,148370
1758270600000,12.9030000,12.9680000,12.8200000,12.9290000,284023
1758271500000,12.9280000,12.9360000,12.7500000,12.7870000,254928
1758272400000,12.7880000,12.8910000,12.7500000,12.7890000,213878
1758273300000,12.7890000,12.7990000,12.6010000,12.6070000,366431
1758274200000,12.6090000,12.6860000,12.5480000,12.5520000,312064
1758275100000,12.5520000,12.7900000,12.5470000,12.7200000,284257
1758276000000,12.7240000,12.7250000,12.5090000,12.5340000,254510
1758276900000,12.5340000,12.5500000,12.2990000,12.4310000,400251
1758277800000,12.4290000,12.4900000,12.3080000,12.4890000,267916
1758278700000,12.4900000,12.5780000,12.4060000,12.4240000,193678
1758279600000,12.4230000,12.4630000,12.2390000,12.2540000,270816
1758280500000,12.2540000,12.3520000,11.9080000,12.0350000,686850
1758281400000,12.0350000,12.1750000,11.8970000,12.1180000,482393
1758282300000,12.1190000,12.1280000,11.8290000,11.9200000,369048
1758283200000,11.9200000,12.9000000,11.9110000,12.4580000,1306655
1758284100000,12.4570000,12.8070000,12.2310000,12.2610000,930992
1758285000000,12.2680000,12.4020000,11.9560000,12.0330000,636202
1758285900000,12.0340000,12.3500000,11.9450000,12.1920000,495678
1758286800000,12.1920000,12.2030000,12.0360000,12.1120000,482585
1758287700000,12.1080000,12.3950000,12.0660000,12.2860000,428869
1758288600000,12.2850000,12.4000000,12.1650000,12.3930000,478547
1758289500000,12.3920000,12.4900000,12.1180000,12.2270000,743409
