ts,price,funding,decision,reason,position
1759566060000,5.709,,hold,not near support: price 5.709000 > low 5.571,None
1759566120000,5.677,,hold,slope=0.0053,None
1759566180000,5.689,,hold,slope=0.0045,None
1759566240000,5.703,,hold,slope=0.0047,None
1759566300000,5.702,,hold,slope=0.0021,None
1759566360000,5.735,,hold,slope=0.0057,None
1759566420000,5.762,,hold,not near support: price 5.762000 > low 5.571,None
1759566480000,5.791,,hold,not near support: price 5.791000 > low 5.571,None
1759566540000,5.786,,hold,slope=0.0069,None
1759566600000,5.781,,hold,slope=0.0037,None
1759566660000,5.749,,hold,slope=-0.0032,None
1759566720000,5.798,,hold,slope=0.0035,None
1759566780000,5.78,,hold,slope=-0.0001,None
1759566840000,5.787,,hold,slope=0.0012,None
1759566900000,5.864,,enter,"slope=0.0122,funding=0.000000,vol=0.007233830581540198,trend=up,sr_low=None,sr_high=5.864,atr=0.0054240045682293755,mom=0.0022559885152902063","Position(symbol='MYX/USDT', direction='long', entry_price=5.869864, size=737.4625000000001, qty=125.63536395391786, entry_time=1759567206.26403, pnl=0.0, exit_price=None, exit_time=None)"
1759566960000,5.901,,reduce,partial_target hit pct=0.0053,"Position(symbol='MYX/USDT', direction='long', entry_price=5.869864, size=368.73125000000005, qty=62.81768197695893, entry_time=1759567206.26403, pnl=1.2895851230067046, exit_price=None, exit_time=None)"
1759567020000,5.838,,hold,in_position pct=-0.0054,"Position(symbol='MYX/USDT', direction='long', entry_price=5.869864, size=368.73125000000005, qty=62.81768197695893, entry_time=1759567206.26403, pnl=1.2895851230067046, exit_price=None, exit_time=None)"
1759567080000,5.848,,hold,in_position pct=-0.0037,"Position(symbol='MYX/USDT', direction='long', entry_price=5.869864, size=368.73125000000005, qty=62.81768197695893, entry_time=1759567206.26403, pnl=1.2895851230067046, exit_price=None, exit_time=None)"
1759567140000,5.876,,hold,in_position pct=0.0010,"Position(symbol='MYX/USDT', direction='long', entry_price=5.869864, size=368.73125000000005, qty=62.81768197695893, entry_time=1759567206.26403, pnl=1.2895851230067046, exit_price=None, exit_time=None)"
1759567200000,5.871,,hold,in_position pct=0.0002,"Position(symbol='MYX/USDT', direction='long', entry_price=5.869864, size=368.73125000000005, qty=62.81768197695893, entry_time=1759567206.26403, pnl=1.2895851230067046, exit_price=None, exit_time=None)"
