threshold_set,p15,p30,p60,sl_pct,tp_pct,risk_pct,fee_pct,slip_pct,trades,total_pnl,wins,losses,final_equity,max_drawdown
relaxed,5.0,10.0,12.0,0.02,0.05,0.05,0.0007,0.0005,8,431.71684515684547,6,2,10428.88189367724,96.35916091554463
relaxed,5.0,10.0,12.0,0.03,0.02,0.05,0.0007,0.0005,8,431.71684515684547,6,2,10428.88189367724,96.35916091554463
relaxed,5.0,10.0,12.0,0.03,0.05,0.05,0.0007,0.0005,8,431.71684515684547,6,2,10428.88189367724,96.35916091554463
more_relaxed,3.0,7.0,10.0,0.01,0.02,0.05,0.0007,0.0005,11,376.59262687529866,7,4,10372.672327013692,69.82901972435502
more_relaxed,3.0,7.0,10.0,0.01,0.05,0.05,0.0007,0.0005,11,376.59262687529866,7,4,10372.672327013692,69.82901972435502
more_relaxed,3.0,7.0,10.0,0.02,0.02,0.05,0.0007,0.0005,11,360.95113887023064,8,3,10357.038156570581,69.82901972435502
more_relaxed,3.0,7.0,10.0,0.03,0.02,0.05,0.0007,0.0005,11,360.95113887023064,8,3,10357.038156570581,69.82901972435502
more_relaxed,3.0,7.0,10.0,0.02,0.05,0.05,0.0007,0.0005,11,317.94780371477145,7,4,10314.039313194842,69.82901972435502
more_relaxed,3.0,7.0,10.0,0.03,0.05,0.05,0.0007,0.0005,11,317.94780371477145,7,4,10314.039313194842,69.82901972435502
orig,7.0,12.0,15.0,0.01,0.02,0.05,0.0007,0.0005,1,302.8356158864528,1,0,10302.485615886453,69.82901972435502
orig,7.0,12.0,15.0,0.01,0.05,0.05,0.0007,0.0005,1,302.8356158864528,1,0,10302.485615886453,69.82901972435502
orig,7.0,12.0,15.0,0.02,0.02,0.05,0.0007,0.0005,1,302.8356158864528,1,0,10302.485615886453,69.82901972435502
orig,7.0,12.0,15.0,0.02,0.05,0.05,0.0007,0.0005,1,302.8356158864528,1,0,10302.485615886453,69.82901972435502
orig,7.0,12.0,15.0,0.03,0.02,0.05,0.0007,0.0005,1,302.8356158864528,1,0,10302.485615886453,69.82901972435502
orig,7.0,12.0,15.0,0.03,0.05,0.05,0.0007,0.0005,1,302.8356158864528,1,0,10302.485615886453,69.82901972435502
