timestamp,open,high,low,close,volume
1759190400000,72.04,73.33,71.46,73.02,5997.817
1759191300000,73.0,73.23,71.16,72.41,7803.411
1759192200000,72.38,72.64,71.68,72.57,1886.683
1759193100000,72.52,72.52,71.21,71.5,2550.805
1759194000000,71.39,72.28,71.06,72.27,4255.385
1759194900000,72.27,72.97,71.18,71.31,2422.763
1759195800000,71.38,73.1,70.31,72.1,15503.95
1759196700000,72.05,72.22,71.61,72.18,1280.798
1759197600000,72.28,73.03,71.52,71.54,1081.236
1759198500000,71.64,71.7,70.16,70.52,3051.845
1759199400000,70.58,71.43,70.5,70.72,2045.816
1759200300000,70.81,70.87,70.41,70.43,432.028
1759201200000,70.38,70.48,69.44,69.95,1650.444
1759202100000,69.9,70.23,69.84,69.91,900.247
1759203000000,69.92,70.17,69.14,69.31,4069.201
1759203900000,69.32,69.54,69.08,69.44,1275.841
1759204800000,69.45,69.47,69.13,69.25,973.669
1759205700000,69.25,69.47,69.16,69.17,771.395
1759206600000,69.17,69.36,68.87,69.15,1512.59
1759207500000,69.21,69.25,68.32,68.38,1983.334
1759208400000,68.41,68.78,68.28,68.69,1097.663
1759209300000,68.69,68.71,68.03,68.33,1429.092
1759210200000,68.27,68.7,68.27,68.6,856.517
1759211100000,68.62,68.88,68.46,68.46,540.031
1759212000000,68.49,68.67,68.18,68.46,532.047
1759212900000,68.49,68.51,68.42,68.47,259.726
1759213800000,68.46,69.6,68.46,69.21,2069.104
1759214700000,69.2,69.95,69.0,69.2,1614.277
1759215600000,69.16,69.98,69.07,69.48,2751.014
1759216500000,69.56,69.68,69.11,69.3,470.194
1759217400000,69.23,69.23,67.86,68.51,2049.501
1759218300000,68.5,68.53,67.33,67.58,5100.708
1759219200000,67.61,68.4,67.57,68.16,1727.485
1759220100000,68.18,68.24,66.97,66.99,4397.713
1759221000000,67.04,67.75,66.66,67.65,2353.584
1759221900000,67.7,67.71,67.02,67.09,1225.434
1759222800000,67.09,67.92,67.09,67.62,1376.298
1759223700000,67.61,68.56,67.61,68.32,2209.864
1759224600000,68.27,68.34,67.37,67.63,1857.464
1759225500000,67.68,67.76,63.1,64.35,40213.334
1759226400000,64.36,65.5,64.18,64.7,4467.692
1759227300000,64.72,65.1,64.33,64.78,3630.818
1759228200000,64.82,64.86,63.9,64.26,2772.408
1759229100000,64.3,66.16,63.9,65.69,14458.859
1759230000000,65.66,65.74,64.72,64.95,2838.837
1759230900000,64.93,65.54,64.45,64.81,1768.116
1759231800000,64.8,65.38,64.45,65.06,1872.156
1759232700000,65.01,65.72,64.75,64.9,2062.299
1759233600000,64.89,65.04,64.65,64.75,885.394
1759234500000,64.86,66.75,64.86,65.96,4353.002
1759235400000,65.94,66.89,65.94,66.22,1632.719
1759236300000,66.21,66.46,65.59,66.11,2109.758
1759237200000,66.17,66.51,66.02,66.32,1326.06
1759238100000,66.36,66.62,66.15,66.4,928.332
1759239000000,66.4,66.75,66.04,66.75,1239.765
1759239900000,66.79,66.99,65.71,66.18,4973.591
1759240800000,66.28,69.08,66.08,69.0,11449.341
1759241700000,69.0,70.67,68.13,69.83,26477.88
1759242600000,69.76,71.27,69.5,70.85,19608.461
1759243500000,70.87,76.48,70.4,76.32,124749.677
1759244400000,76.19,76.48,73.29,74.68,68863.569
1759245300000,74.77,74.99,73.17,73.68,8450.543
1759246200000,73.64,75.19,73.6,74.12,10943.89
1759247100000,74.12,74.89,73.63,73.63,7678.141
1759248000000,73.73,74.87,72.12,72.79,15758.273
1759248900000,72.7,73.98,72.7,73.75,2766.308
1759249800000,73.75,74.18,72.71,73.44,2502.022
1759250700000,73.53,74.41,73.09,73.46,3448.452
1759251600000,73.37,74.26,73.36,73.53,1931.19
1759252500000,73.53,75.37,73.53,74.96,4892.149
1759253400000,75.06,75.48,73.26,73.61,11051.743
1759254300000,73.61,74.9,73.4,73.54,9409.736
1759255200000,73.49,73.92,72.91,73.52,6951.838
1759256100000,73.56,73.99,72.7,73.91,2705.045
1759257000000,73.81,73.96,73.5,73.82,1958.964
1759257900000,73.82,74.89,73.21,74.82,2859.481
1759258800000,74.77,76.31,74.77,75.3,8442.207
1759259700000,75.26,75.34,74.4,75.24,2096.429
1759260600000,75.22,75.57,74.9,75.45,1214.086
1759261500000,75.43,76.47,75.23,75.79,2243.245
1759262400000,75.8,76.57,75.15,75.39,2594.775
1759263300000,75.38,76.18,75.25,75.83,1399.697
1759264200000,75.81,76.24,75.55,75.76,957.33
1759265100000,75.71,76.5,75.52,76.35,917.598
1759266000000,76.29,77.65,76.08,76.19,5010.106
1759266900000,76.23,76.48,75.61,75.68,861.207
1759267800000,75.71,75.71,74.72,74.72,2800.366
1759268700000,74.79,74.82,73.91,74.48,2631.753
1759269600000,74.49,74.57,74.15,74.31,1825.832
1759270500000,74.31,75.06,74.18,74.31,2745.644
1759271400000,74.37,74.55,73.96,74.39,1798.964
1759272300000,74.41,74.46,73.52,73.68,2601.668
1759273200000,73.65,74.63,73.56,74.53,1711.014
1759274100000,74.55,74.55,73.89,74.27,1426.964
1759275000000,74.28,74.75,74.28,74.59,1194.172
1759275900000,74.64,74.73,74.26,74.32,1311.885
1759276800000,74.3,75.79,74.21,75.32,2829.08
1759277700000,75.2,75.46,74.66,74.91,1049.977
1759278600000,74.82,75.19,74.58,75.16,1132.423
1759279500000,75.14,75.33,74.74,75.14,1894.824
1759280400000,75.15,75.59,74.77,75.27,1540.749
1759281300000,75.28,75.85,75.08,75.63,1282.789
1759282200000,75.66,77.56,75.37,77.13,4247.59
1759283100000,77.11,77.65,77.0,77.28,1341.231
1759284000000,77.34,77.34,76.07,76.41,2077.246
1759284900000,76.5,77.48,76.5,76.96,1197.597
1759285800000,76.97,77.17,76.69,76.79,968.728
1759286700000,76.72,76.77,75.91,76.05,889.89
1759287600000,76.08,76.26,74.39,75.52,6563.46
1759288500000,75.55,75.61,75.03,75.17,917.121
1759289400000,75.21,76.88,75.12,76.63,3759.762
1759290300000,76.62,77.0,76.28,76.92,2753.007
1759291200000,76.95,78.5,76.89,78.06,5685.147
1759292100000,78.01,78.97,77.64,78.38,6593.583
1759293000000,78.44,80.44,78.17,79.9,15870.535
1759293900000,79.99,80.12,78.78,79.53,4075.217
1759294800000,79.54,80.37,79.07,79.73,6387.724
1759295700000,79.8,81.58,79.51,81.29,8532.963
1759296600000,81.28,82.18,79.88,80.98,12044.185
1759297500000,80.88,81.38,79.38,80.28,13585.796
1759298400000,80.28,81.63,80.07,81.03,4560.778
1759299300000,81.11,81.14,78.76,80.28,6586.862
1759300200000,80.23,80.6,79.42,80.52,3133.807
1759301100000,80.46,80.54,78.85,79.05,3645.009
1759302000000,79.09,84.41,78.31,83.23,47391.518
1759302900000,83.22,85.63,82.91,85.0,25098.099
1759303800000,85.0,90.16,83.98,89.22,55299.955
1759304700000,89.22,90.0,88.72,89.37,15599.641
1759305600000,89.47,89.9,88.26,89.13,11969.298
1759306500000,89.2,90.5,87.74,89.69,25141.51
1759307400000,89.66,93.59,89.0,92.32,35170.154
1759308300000,92.22,92.78,85.68,91.6,38246.048
1759309200000,91.6,92.99,91.32,92.3,12174.213
1759310100000,92.3,95.0,91.09,93.74,20273.878
1759311000000,93.78,98.19,92.15,97.85,26988.337
1759311900000,97.81,98.0,93.92,94.26,17904.31
1759312800000,94.24,94.81,89.06,90.59,12745.62
1759313700000,90.56,91.92,85.71,86.38,28853.399
1759314600000,86.36,95.0,83.87,89.4,40104.743
1759315500000,89.4,92.0,88.77,91.08,15964.476
1759316400000,91.06,94.36,90.26,92.48,21426.868
1759317300000,92.48,95.0,91.9,93.79,14207.572
1759318200000,93.74,95.34,92.63,94.43,14590.15
1759319100000,94.41,95.74,94.0,94.71,10631.785
1759320000000,94.7,96.36,88.26,90.32,23932.862
1759320900000,90.28,93.58,88.58,89.78,28604.413
1759321800000,89.76,94.07,89.36,93.76,37354.755
1759322700000,93.75,94.82,92.11,93.71,23051.461
