side,entry_time,entry,size,pos_notional,exit_time,exit,gross_pnl,entry_fee,exit_fee,pnl,equity,entry_reason,close_reason,action_desc
short,2025-10-01 17:30:00 UTC,107.436255,18.615689833939204,2000.0,2025-10-01 18:15:00 UTC,113.99696999999999,-122.13223552887222,1.4,1.4854925648702104,-125.01772809374242,9874.982271906258,short_signal,SL,Close SHORT (SL hit)
short,2025-10-02 04:45:00 UTC,140.3298,14.07396329490423,1974.9964543812516,2025-10-02 05:15:00 UTC,145.162545,-68.01587574363178,1.3824975180668762,1.4301086310874185,-70.82848189278607,9804.153790013472,short_signal,SL,Close SHORT (SL hit)
long,2025-10-03 17:00:00 UTC,138.98945999999998,14.107765855070555,1960.8307580026944,2025-10-04 19:15:00 UTC,166.306805,385.3867070421826,1.372581530601886,1.6423522255314138,382.3717732860493,10186.525563299521,long_quick,end,
