human_utc,timestamp,close,pct15_pct_str,pct30_pct_str,pct60_pct_str,long_signal,short_quick,action,action_desc,pos_side,pos_entry,pos_size,pos_notional,equity_fmt
2025-09-30 06:30:00 UTC,2025-09-30 06:30:00+00:00,15.86,-0.37%,-0.60%,-1.25%,False,False,,,,,,,"$10,000.00"
2025-09-30 06:45:00 UTC,2025-09-30 06:45:00+00:00,16.054,+1.22%,+0.85%,-0.02%,False,False,,,,,,,"$10,000.00"
2025-09-30 07:00:00 UTC,2025-09-30 07:00:00+00:00,15.82,-1.46%,-0.25%,-0.85%,False,False,,,,,,,"$10,000.00"
2025-09-30 07:15:00 UTC,2025-09-30 07:15:00+00:00,15.944,+0.78%,-0.69%,+0.16%,False,False,,,,,,,"$10,000.00"
2025-09-30 07:30:00 UTC,2025-09-30 07:30:00+00:00,15.966,+0.14%,+0.92%,+0.67%,False,False,,,,,,,"$10,000.00"
2025-09-30 07:45:00 UTC,2025-09-30 07:45:00+00:00,15.874,-0.58%,-0.44%,-1.12%,False,False,,,,,,,"$10,000.00"
2025-09-30 08:00:00 UTC,2025-09-30 08:00:00+00:00,15.65,-1.41%,-1.98%,-1.07%,False,False,,,,,,,"$10,000.00"
2025-09-30 08:15:00 UTC,2025-09-30 08:15:00+00:00,15.81,+1.02%,-0.40%,-0.84%,False,False,,,,,,,"$10,000.00"
2025-09-30 08:30:00 UTC,2025-09-30 08:30:00+00:00,15.942,+0.83%,+1.87%,-0.15%,False,False,,,,,,,"$10,000.00"
2025-09-30 08:45:00 UTC,2025-09-30 08:45:00+00:00,15.921,-0.13%,+0.70%,+0.30%,False,False,,,,,,,"$10,000.00"
2025-09-30 09:00:00 UTC,2025-09-30 09:00:00+00:00,16.102,+1.14%,+1.00%,+2.89%,False,False,,,,,,,"$10,000.00"
2025-09-30 09:15:00 UTC,2025-09-30 09:15:00+00:00,16.048,-0.34%,+0.80%,+1.51%,False,False,,,,,,,"$10,000.00"
2025-09-30 09:30:00 UTC,2025-09-30 09:30:00+00:00,15.942,-0.66%,-0.99%,+0.00%,False,False,,,,,,,"$10,000.00"
2025-09-30 09:45:00 UTC,2025-09-30 09:45:00+00:00,16.007,+0.41%,-0.26%,+0.54%,False,False,,,,,,,"$10,000.00"
2025-09-30 10:00:00 UTC,2025-09-30 10:00:00+00:00,15.944,-0.39%,+0.01%,-0.98%,False,False,,,,,,,"$10,000.00"
2025-09-30 10:15:00 UTC,2025-09-30 10:15:00+00:00,15.823,-0.76%,-1.15%,-1.40%,False,False,,,,,,,"$10,000.00"
2025-09-30 10:30:00 UTC,2025-09-30 10:30:00+00:00,15.844,+0.13%,-0.63%,-0.61%,False,False,,,,,,,"$10,000.00"
2025-09-30 10:45:00 UTC,2025-09-30 10:45:00+00:00,15.818,-0.16%,-0.03%,-1.18%,False,False,,,,,,,"$10,000.00"
2025-09-30 11:00:00 UTC,2025-09-30 11:00:00+00:00,15.703,-0.73%,-0.89%,-1.51%,False,False,,,,,,,"$10,000.00"
2025-09-30 11:15:00 UTC,2025-09-30 11:15:00+00:00,15.874,+1.09%,+0.35%,+0.32%,False,False,,,,,,,"$10,000.00"
2025-09-30 11:30:00 UTC,2025-09-30 11:30:00+00:00,15.944,+0.44%,+1.53%,+0.63%,False,False,,,,,,,"$10,000.00"
2025-09-30 11:45:00 UTC,2025-09-30 11:45:00+00:00,16.016,+0.45%,+0.89%,+1.25%,False,False,,,,,,,"$10,000.00"
2025-09-30 12:00:00 UTC,2025-09-30 12:00:00+00:00,15.898,-0.74%,-0.29%,+1.24%,False,False,,,,,,,"$10,000.00"
2025-09-30 12:15:00 UTC,2025-09-30 12:15:00+00:00,15.953,+0.35%,-0.39%,+0.50%,False,False,,,,,,,"$10,000.00"
2025-09-30 12:30:00 UTC,2025-09-30 12:30:00+00:00,15.752,-1.26%,-0.92%,-1.20%,False,False,,,,,,,"$10,000.00"
2025-09-30 12:45:00 UTC,2025-09-30 12:45:00+00:00,15.943,+1.21%,-0.06%,-0.46%,False,False,,,,,,,"$10,000.00"
2025-09-30 13:00:00 UTC,2025-09-30 13:00:00+00:00,15.9,-0.27%,+0.94%,+0.01%,False,False,,,,,,,"$10,000.00"
2025-09-30 13:15:00 UTC,2025-09-30 13:15:00+00:00,16.064,+1.03%,+0.76%,+0.70%,False,False,,,,,,,"$10,000.00"
2025-09-30 13:30:00 UTC,2025-09-30 13:30:00+00:00,15.997,-0.42%,+0.61%,+1.56%,False,False,,,,,,,"$10,000.00"
2025-09-30 13:45:00 UTC,2025-09-30 13:45:00+00:00,15.902,-0.59%,-1.01%,-0.26%,False,False,,,,,,,"$10,000.00"
